time,lon,lat
20160920_210440,-54.2163,54.4963
20160920_210711,-54.2161,54.4962
20160920_211601,-54.2162,54.4962
20160920_211813,-54.2161,54.4961
20160920_212338,-54.2157,54.4962
20160920_212711,-54.2156,54.4964
20160920_213149,-54.2155,54.4964
20160920_213448,-54.2153,54.4965
20160920_213859,-54.2151,54.4967
20160920_214144,-54.2149,54.4968
20160920_214500,-54.2146,54.4971
20160920_214750,-54.2144,54.4972
20160920_215210,-54.2142,54.4974
20160920_215444,-54.2141,54.4975
20160920_215843,-54.2142,54.4978
20160920_220211,-54.2144,54.498
20160920_220825,-54.2149,54.4981
